NO,INCHIKEY,Ontology,Platform,,,,,,,,,,,,
210,HFJVKBVEKQHVTO-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
211,WKQNRCYKYCKESD-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
212,YDNKGFDKKRUKPY-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
213,JZWNYZVVZXZRRH-UHFFFAOYSA-N,LPS,Lipidomics,,,,,,,,,,,,
214,YAMUFBLWGFFICM-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
215,JUONHTPVXHYHOH-UHFFFAOYSA-N,VAE,Lipidomics,,,,,,,,,,,,
216,XEVRBOQZSXWGQO-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
217,ZPDQFUYPBVXUKS-UHFFFAOYSA-N,LPS,Lipidomics,,,,,,,,,,,,
218,IHNKQIMGVNPMTC-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
219,OSRWIBSZJTWIKA-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
220,RSVFMXVZJZRSQQ-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
221,IBHAQCAKDSJHDI-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
222,DOAHYXIAGJMIQT-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
223,NYSQCLMCGRAJJQ-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
224,VRVDEVSSPPTZQJ-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
225,GMWIWVUTMCBDSP-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
226,WYIMORDZGCUBAA-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
227,KWAZVRFGMKVLMV-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
228,GCGTXOVNNFGTPQ-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
229,SPJFYYJXNPEZDW-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
230,GOMVPVRDBLLHQC-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
231,XUDGAAFUMTTZCO-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
232,VYGQUTWHTHXGQB-UHFFFAOYSA-N,VAE,Lipidomics,,,,,,,,,,,,
233,YYQVCMMXPIJVHY-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
234,VODZWWMEJITOND-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
235,FXKDHZXYYBPLHI-UHFFFAOYSA-N,VAE,Lipidomics,,,,,,,,,,,,
236,YNGACJMSLZMZOX-UHFFFAOYSA-N,VAE,Lipidomics,,,,,,,,,,,,
237,MGCOSBZSSKOQOR-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
238,SFEASCDNRVXVFA-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
239,NYNQTTOUQMCOEM-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
240,KJSNLKUMZOSQGP-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
241,NCXVGHRNKYNBGA-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
242,OYIDIWMHAJCRKH-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
243,WNPWDGNHTKGEDS-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
244,XZZSYDYWLNENCT-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
245,BQSLGFJBSGGIKO-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
246,BIEOSECQPGGZMF-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
247,UOXRPRZMAROFPH-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
248,YYSFWGQAKJTHRE-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
249,GXEIJYZRCDTJTE-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
250,UATOAILWGVYRQS-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
251,YMGXOQLWSYJFSD-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
252,XWBWIAOWSABHFI-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
253,UIINDYGXBHJQHX-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
254,WVBVUWWRPSWGDS-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
255,ADLOEVQMJKYKSR-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
256,JEJLGIQLPYYGEE-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
257,VAIOFNYDSDBPOE-UHFFFAOYSA-N,SL,Lipidomics,,,,,,,,,,,,
258,LSOWKZULVQWMLY-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
259,NBSDZPNNDCXPFZ-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
260,JYGYVEYUGGTFCT-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
261,SAHCQBPGXQFTRA-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
262,MVJLCNHKHFNJRQ-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
263,OXTFPTSNFCFLAN-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
264,UGDOFRYHDCDVHD-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
265,MXAFDFDAIFZFET-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
266,PAFOXYLFALKPOE-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
267,FFCOHGLMJQZHQM-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
268,RYTMIHAYDZBVFY-UHFFFAOYSA-N,SL,Lipidomics,,,,,,,,,,,,
269,AWTNSRHUZXWBCO-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
270,AVAMAXIWCFLWKK-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
271,HBVWYAQLNJJGTM-UHFFFAOYSA-N,SL,Lipidomics,,,,,,,,,,,,
272,KEPQASGDXIEOIL-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
