name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
Lauric acid,Lipids and lipid-like molecules,1.622137589,0.002135441,0.000621601,1.396610546,0.022221093,0.768298368,0.481929772,0.002135441
"7-[3,5-Dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid",Lipids and lipid-like molecules,1.583177204,0.003006133,0.014997039,1.819865,0.027882362,1,0.863831433,0.003006133
"17-(1,5-Dimethyl-hexyl)-pentamethyl-tetradecahydro-cyclopenta(A)phenanthren-3-OL",Lipids and lipid-like molecules,1.414896868,0.003225972,0.013986014,1.643989488,0.029318394,1,0.717201074,0.003225972
Squalen,Lipids and lipid-like molecules,1.377433886,0.00357528,0.005905206,1.893355928,0.02973103,1,0.920945646,0.00357528
2-O-alpha-L-Mannopyranosyl-D-glyceric acid,Lipids and lipid-like molecules,1.306949109,0.003603047,0.002175602,1.448276433,0.02973103,1,0.534336997,0.003603047
Zymosterol,Lipids and lipid-like molecules,1.229685299,0.003654594,0.009324009,2.457214365,0.02973103,1,1.297023723,0.003654594
Chenodeoxycholate,Lipids and lipid-like molecules,1.517996952,0.003694787,0.000621601,0.48920179,0.02973103,0.768298368,-1.031498411,0.003694787
Squalene,Lipids and lipid-like molecules,1.372494962,0.00410734,0.005905206,1.902964436,0.030582366,1,0.9282486,0.00410734
Arachidonate,Lipids and lipid-like molecules,1.081328549,0.004703633,0.002175602,2.057493486,0.033032328,1,1.040887863,0.004703633
9-Hexadecenoic acid,Lipids and lipid-like molecules,1.625592772,0.00603486,0.0003108,2.89893059,0.037224048,0.384149184,1.535520791,0.00603486
Cholestanol,Lipids and lipid-like molecules,1.054054285,0.006585281,0.020512821,2.573150382,0.038276006,1,1.363535775,0.006585281
8-Iso PROSTAGLANDIN E2,Lipids and lipid-like molecules,1.460907687,0.007615571,0.013986014,1.684242965,0.040978247,1,0.752100273,0.007615571
Galactosylglycerol,Lipids and lipid-like molecules,1.27772607,0.009355972,0.054079254,1.826547096,0.045106051,1,0.869118953,0.009355972
"D-Fructose, 3-O-alpha-D-glucopyranosyl-",Lipids and lipid-like molecules,0.826602938,0.009398525,0.04009324,3.963575988,0.045106051,1,1.986802636,0.009398525
"1,4a-Dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid",Lipids and lipid-like molecules,1.452650835,0.010103128,0.009324009,1.224594092,0.047122515,1,0.292303628,0.010103128
